,canceled_departure_list,canceled_arrival_list,canceled_flight_codes_list
94,LUX,OPO,LG3783
95,OPO,LUX,LG3784
96,LUX,ORD,CRN783
97,TIV,ZRH,2L8165
98,AMS,PVG,CK206
99,AMS,MXP,KZ92
100,AMS,ACC,DL9372
101,AMS,DEL,DL9574
102,AMS,MXP,KZ92
103,AMS,WAW,LO268
104,AMS,ATL,DL73
105,AMS,ATL,DL75
106,ATL,AMS,DL74
107,AMS,JFK,K4206
108,AMS,JFK,DL9358
109,JFK,AMS,DL9392
110,OSL,DUS,SK816
111,DUS,OSL,SK817
112,OSL,AGP,SK6351
113,AGP,OSL,SK6352
114,WAW,TBS,LO8529
115,TBS,WAW,LO8530
116,AMS,WAW,LO268
117,PKX,XIY,JD429
118,OPO,LUX,LG3784
119,LUX,OPO,LG3783
120,OTP,IST,RO263
121,IST,OTP,RO264
122,AUH,OTP,W63266
123,SVX,SVO,SU1409
124,DME,IJK,I8306
125,DME,IJK,I8312
126,DME,SHJ,G9956
127,SHJ,DME,G9955
128,SVO,HND,JL40
129,HND,SVO,JL49
130,SVO,OVB,SU1548
131,SVO,UFA,SU1230
132,SVO,UFA,SU1232
133,SVO,VOZ,SU1352
134,SVX,SVO,SU1409
135,LED,OMS,U667
136,VOZ,LED,7R554
137,BCN,RIX,BT684
138,RIX,BCN,BT683
139,PMI,BCN,VY3905
140,MAD,RIX,BT686
141,RIX,MAD,BT685
142,AGP,OSL,SK6352
143,OSL,AGP,SK6351
144,BHX,AGP,BY7750
145,MAN,AGP,BY2786
146,PMI,BCN,VY3905
147,ARN,KEF,FI313
148,KEF,ARN,FI312
149,ARN,SDL,W27309
150,SDL,ARN,W27308
151,UME,ARN,SK2031
152,GVA,TUN,TU703
153,TUN,GVA,TU702
154,TIV,ZRH,2L8165
155,ZRH,OHD,WK416
156,OHD,ZRH,WK417
157,AYT,FDH,XC7101
158,FDH,AYT,XC7102
159,ASR,FDH,XC7901
160,FDH,ASR,XC7902
161,IST,IKA,IR718
162,IST,IKA,IR768
163,IST,IKA,W5113
164,IKA,IST,IR719
165,IKA,IST,IR769
166,IKA,IST,W5112
167,IST,KWI,J9302
168,KWI,IST,J9301
169,IST,TIP,8U971
170,IST,TIP,8U971
171,IST,MCT,WY166
172,MCT,IST,WY165
173,IST,OTP,RO264
174,OTP,IST,RO263
175,IST,KRT,J4691
176,KRT,IST,J4690
177,SAW,SHJ,G9284
178,SAW,SHJ,G9286
179,SHJ,SAW,G9283
180,SHJ,SAW,G9285
181,TZX,SHJ,G9352
182,TZX,SHJ,G9354
183,TZX,SHJ,G9356
184,SHJ,TZX,G9351
185,SHJ,TZX,G9355
186,KBP,OZH,PS85
187,KBP,SHJ,G9261
188,SHJ,KBP,G9260
189,BHX,AGP,BY7750
190,SJC,CNY,N405QS
191,SJC,CNY,N405QS
192,SJC,CNY,N405QS
193,FDH,ASR,XC7902
194,ASR,FDH,XC7901
195,LHR,HND,BA5
196,LHR,HND,JL42
197,HND,LHR,JL41
198,MAN,AGP,BY2786
